match_id,date,home_team,visit_team,home_score,visit_score
400827892,2015-10-28 00:00:00,Boston Celtics,Philadelphia 76ers,112,95
400827911,2015-10-30 00:00:00,Boston Celtics,Toronto Raptors,103,113
400827927,2015-11-01 00:00:00,Boston Celtics,San Antonio Spurs,87,95
400827947,2015-11-04 00:00:00,Indiana Pacers,Boston Celtics,100,98
400827963,2015-11-06 00:00:00,Boston Celtics,Washington Wizards,118,98
400827997,2015-11-10 00:00:00,Milwaukee Bucks,Boston Celtics,83,99
400828003,2015-11-11 00:00:00,Boston Celtics,Indiana Pacers,91,102
400828016,2015-11-13 00:00:00,Boston Celtics,Atlanta Hawks,106,93
400828036,2015-11-15 00:00:00,Oklahoma City Thunder,Boston Celtics,85,100
400828041,2015-11-16 00:00:00,Houston Rockets,Boston Celtics,95,111
400828055,2015-11-18 00:00:00,Boston Celtics,Dallas Mavericks,102,106
400828066,2015-11-20 00:00:00,Boston Celtics,Brooklyn Nets,120,95
400828084,2015-11-22 00:00:00,Brooklyn Nets,Boston Celtics,111,101
400828097,2015-11-24 00:00:00,Atlanta Hawks,Boston Celtics,121,97
400828104,2015-11-25 00:00:00,Boston Celtics,Philadelphia 76ers,84,80
400828116,2015-11-27 00:00:00,Boston Celtics,Washington Wizards,111,78
400828136,2015-11-29 00:00:00,Orlando Magic,Boston Celtics,110,91
400828142,2015-11-30 00:00:00,Miami Heat,Boston Celtics,95,105
400828169,2015-12-03 00:00:00,Sacramento Kings,Boston Celtics,97,114
400828183,2015-12-05 00:00:00,San Antonio Spurs,Boston Celtics,108,105
400828199,2015-12-07 00:00:00,New Orleans Pelicans,Boston Celtics,93,111
400828206,2015-12-09 00:00:00,Boston Celtics,Chicago Bulls,105,100
400828223,2015-12-11 00:00:00,Boston Celtics,Golden State Warriors,119 2OT,124
400828232,2015-12-12 00:00:00,Charlotte Hornets,Boston Celtics,93,98
400828254,2015-12-15 00:00:00,Boston Celtics,Cleveland Cavaliers,77,89
400828261,2015-12-16 00:00:00,Detroit Pistons,Boston Celtics,119,116
400828276,2015-12-18 00:00:00,Boston Celtics,Atlanta Hawks,101,109
400828298,2015-12-21 00:00:00,Boston Celtics,Minnesota Timberwolves,113,99
400828310,2015-12-23 00:00:00,Charlotte Hornets,Boston Celtics,89,102
400828333,2015-12-26 00:00:00,Detroit Pistons,Boston Celtics,93,99
400828341,2015-12-27 00:00:00,Boston Celtics,New York Knicks,100,91
400828363,2015-12-30 00:00:00,Boston Celtics,Los Angeles Lakers,104,112
400828382,2016-01-02 00:00:00,Boston Celtics,Brooklyn Nets,97,100
400828400,2016-01-04 00:00:00,Brooklyn Nets,Boston Celtics,94,103
400828415,2016-01-06 00:00:00,Boston Celtics,Detroit Pistons,94,99
400828424,2016-01-07 00:00:00,Chicago Bulls,Boston Celtics,101,92
400828447,2016-01-10 00:00:00,Memphis Grizzlies,Boston Celtics,101,98
400828458,2016-01-12 00:00:00,New York Knicks,Boston Celtics,120,114
400828467,2016-01-13 00:00:00,Boston Celtics,Indiana Pacers,103,94
400828482,2016-01-15 00:00:00,Boston Celtics,Phoenix Suns,117,103
400828491,2016-01-16 00:00:00,Washington Wizards,Boston Celtics,117,119
400828510,2016-01-18 00:00:00,Dallas Mavericks,Boston Celtics,118,113 OT
400828520,2016-01-20 00:00:00,Toronto Raptors,Boston Celtics,115,109
