0,Portland Trail Blazers
1,Chicago Bulls
2,Washington Wizards
3,LA Clippers
4,Toronto Raptors
5,Brooklyn Nets
6,Memphis Grizzlies
7,Oklahoma City Thunder
8,New York Knicks
9,Charlotte Hornets
10,Denver Nuggets
11,San Antonio Spurs
12,Miami Heat
13,Houston Rockets
14,Phoenix Suns
15,Sacramento Kings
16,New Orleans Pelicans
17,Cleveland Cavaliers
18,Utah Jazz
19,Golden State Warriors
20,Atlanta Hawks
21,Detroit Pistons
22,Los Angeles Lakers
23,Orlando Magic
24,Boston Celtics
25,Minnesota Timberwolves
26,Philadelphia 76ers
27,Dallas Mavericks
28,Milwaukee Bucks
29,Indiana Pacers
