,W,visit_win,Avg_Score
Golden State Warriors,73,34,114
San Antonio Spurs,67,27,103
Cleveland Cavaliers,57,24,104
Toronto Raptors,56,24,102
Oklahoma City Thunder,55,23,110
LA Clippers,53,24,104
Atlanta Hawks,48,21,102
Boston Celtics,48,20,105
Miami Heat,48,20,100
Charlotte Hornets,48,18,103
Indiana Pacers,45,19,102
Detroit Pistons,44,18,101
Portland Trail Blazers,44,16,105
Dallas Mavericks,42,19,102
Chicago Bulls,42,16,101
Memphis Grizzlies,42,16,99
Washington Wizards,41,19,104
Houston Rockets,41,18,106
Utah Jazz,40,16,97
Orlando Magic,35,12,102
Sacramento Kings,33,15,106
Denver Nuggets,33,15,101
Milwaukee Bucks,33,10,99
New York Knicks,32,14,98
New Orleans Pelicans,30,9,102
Minnesota Timberwolves,29,15,102
Phoenix Suns,23,9,100
Brooklyn Nets,21,7,98
Los Angeles Lakers,17,5,97
Philadelphia 76ers,10,3,97
