match_id,date,home_team,visit_team,home_score,visit_score
400277722,2012-10-30 00:00:00,Miami Heat,Boston Celtics,120,107
400277723,2012-10-30 00:00:00,Los Angeles Lakers,Dallas Mavericks,91,99
400277721,2012-10-30 00:00:00,Cleveland Cavaliers,Washington Wizards,94,84
400277728,2012-10-31 00:00:00,New Orleans Pelicans,San Antonio Spurs,95,99
400277731,2012-10-31 00:00:00,LA Clippers,Memphis Grizzlies,101,92
400277726,2012-10-31 00:00:00,Detroit Pistons,Houston Rockets,96,105
400277725,2012-10-31 00:00:00,Philadelphia 76ers,Denver Nuggets,84,75
400277732,2012-10-31 00:00:00,Portland Trail Blazers,Los Angeles Lakers,116,106
400277730,2012-10-31 00:00:00,Phoenix Suns,Golden State Warriors,85,87
400277729,2012-10-31 00:00:00,Utah Jazz,Dallas Mavericks,113,94
400277724,2012-10-31 00:00:00,Toronto Raptors,Indiana Pacers,88,90
400277727,2012-10-31 00:00:00,Chicago Bulls,Sacramento Kings,93,87
400277734,2012-11-01 00:00:00,San Antonio Spurs,Oklahoma City Thunder,86,84
400277735,2012-11-02 00:00:00,Charlotte Hornets,Indiana Pacers,90,89
400277744,2012-11-02 00:00:00,Phoenix Suns,Detroit Pistons,92,89
400277737,2012-11-02 00:00:00,Boston Celtics,Milwaukee Bucks,88,99
400277736,2012-11-02 00:00:00,Orlando Magic,Denver Nuggets,102,89
400277741,2012-11-02 00:00:00,New Orleans Pelicans,Utah Jazz,88,86
400277746,2012-11-02 00:00:00,Golden State Warriors,Memphis Grizzlies,94,104
400277738,2012-11-02 00:00:00,Atlanta Hawks,Houston Rockets,102,109
400277740,2012-11-02 00:00:00,New York Knicks,Miami Heat,104,84
400277745,2012-11-02 00:00:00,Los Angeles Lakers,LA Clippers,95,105
400277739,2012-11-02 00:00:00,Cleveland Cavaliers,Chicago Bulls,86,115
400277742,2012-11-02 00:00:00,Oklahoma City Thunder,Portland Trail Blazers,106,92
400277743,2012-11-02 00:00:00,Minnesota Timberwolves,Sacramento Kings,92,80
400277748,2012-11-03 00:00:00,Indiana Pacers,Sacramento Kings,106,98 2OT
400277749,2012-11-03 00:00:00,Brooklyn Nets,Toronto Raptors,107,100
400277752,2012-11-03 00:00:00,Houston Rockets,Portland Trail Blazers,85 OT,95
400277754,2012-11-03 00:00:00,Dallas Mavericks,Charlotte Hornets,126,99
400277751,2012-11-03 00:00:00,Chicago Bulls,New Orleans Pelicans,82,89
400277753,2012-11-03 00:00:00,Milwaukee Bucks,Cleveland Cavaliers,105,102
400277750,2012-11-03 00:00:00,Miami Heat,Denver Nuggets,119,116
400277747,2012-11-03 00:00:00,Washington Wizards,Boston Celtics,86,89
400277756,2012-11-03 00:00:00,LA Clippers,Golden State Warriors,110,114
400277755,2012-11-03 00:00:00,San Antonio Spurs,Utah Jazz,110,100
400277759,2012-11-04 00:00:00,Orlando Magic,Phoenix Suns,115,94
400277757,2012-11-04 00:00:00,New York Knicks,Philadelphia 76ers,100,84
400277758,2012-11-04 00:00:00,Toronto Raptors,Minnesota Timberwolves,105,86
400277761,2012-11-04 00:00:00,Los Angeles Lakers,Detroit Pistons,108,79
400277760,2012-11-04 00:00:00,Oklahoma City Thunder,Atlanta Hawks,95,104
400277767,2012-11-05 00:00:00,San Antonio Spurs,Indiana Pacers,101,79
400277762,2012-11-05 00:00:00,Philadelphia 76ers,New York Knicks,88,110
400277766,2012-11-05 00:00:00,Dallas Mavericks,Portland Trail Blazers,114,91
400277768,2012-11-05 00:00:00,Sacramento Kings,Golden State Warriors,94,92
400277764,2012-11-05 00:00:00,Miami Heat,Phoenix Suns,124,99
400277765,2012-11-05 00:00:00,Memphis Grizzlies,Utah Jazz,103,94
400277763,2012-11-05 00:00:00,Brooklyn Nets,Minnesota Timberwolves,96,107
400277769,2012-11-05 00:00:00,LA Clippers,Cleveland Cavaliers,101,108
400277770,2012-11-06 00:00:00,Chicago Bulls,Orlando Magic,99,93
400277771,2012-11-06 00:00:00,Oklahoma City Thunder,Toronto Raptors,108,88
400277772,2012-11-06 00:00:00,Denver Nuggets,Detroit Pistons,109,97
400277784,2012-11-07 00:00:00,LA Clippers,San Antonio Spurs,106,84
400277774,2012-11-07 00:00:00,Boston Celtics,Washington Wizards,100,94 OT
400277775,2012-11-07 00:00:00,Atlanta Hawks,Indiana Pacers,89,86
400277773,2012-11-07 00:00:00,Charlotte Hornets,Phoenix Suns,110,117
400277783,2012-11-07 00:00:00,Sacramento Kings,Detroit Pistons,105,103
400277777,2012-11-07 00:00:00,Milwaukee Bucks,Memphis Grizzlies,90,108
400277780,2012-11-07 00:00:00,Minnesota Timberwolves,Orlando Magic,90,75
400277782,2012-11-07 00:00:00,Utah Jazz,Los Angeles Lakers,95,86
400277785,2012-11-07 00:00:00,Golden State Warriors,Cleveland Cavaliers,106,96
400277778,2012-11-07 00:00:00,New Orleans Pelicans,Philadelphia 76ers,62,77
400277781,2012-11-07 00:00:00,Dallas Mavericks,Toronto Raptors,109,104
400277779,2012-11-07 00:00:00,Houston Rockets,Denver Nuggets,87,93
400277776,2012-11-07 00:00:00,Miami Heat,Brooklyn Nets,103,73
400277786,2012-11-08 00:00:00,Chicago Bulls,Oklahoma City Thunder,91,97
400277787,2012-11-08 00:00:00,Portland Trail Blazers,LA Clippers,90,103
400277791,2012-11-09 00:00:00,New York Knicks,Dallas Mavericks,104,94
400277796,2012-11-09 00:00:00,Minnesota Timberwolves,Indiana Pacers,96,94
400277789,2012-11-09 00:00:00,Orlando Magic,Brooklyn Nets,68,107
400277790,2012-11-09 00:00:00,Boston Celtics,Philadelphia 76ers,100,106
400277794,2012-11-09 00:00:00,New Orleans Pelicans,Charlotte Hornets,107,99
400277792,2012-11-09 00:00:00,Atlanta Hawks,Miami Heat,89,95
400277795,2012-11-09 00:00:00,Oklahoma City Thunder,Detroit Pistons,105,94
400277788,2012-11-09 00:00:00,Washington Wizards,Milwaukee Bucks,91,101
400277800,2012-11-09 00:00:00,Los Angeles Lakers,Golden State Warriors,101,77
400277797,2012-11-09 00:00:00,Phoenix Suns,Cleveland Cavaliers,107,105
400277798,2012-11-09 00:00:00,Sacramento Kings,San Antonio Spurs,86,97
400277799,2012-11-09 00:00:00,Denver Nuggets,Utah Jazz,104,84
400277793,2012-11-09 00:00:00,Memphis Grizzlies,Houston Rockets,93,85
400277808,2012-11-10 00:00:00,Portland Trail Blazers,San Antonio Spurs,109,112
400277804,2012-11-10 00:00:00,Chicago Bulls,Minnesota Timberwolves,87,80
400277806,2012-11-10 00:00:00,Milwaukee Bucks,Boston Celtics,92,96
400277807,2012-11-10 00:00:00,Utah Jazz,Phoenix Suns,94,81
400277803,2012-11-10 00:00:00,Charlotte Hornets,Dallas Mavericks,101,97 OT
400277802,2012-11-10 00:00:00,Indiana Pacers,Washington Wizards,89,85
400277809,2012-11-10 00:00:00,Golden State Warriors,Denver Nuggets,101 2OT,107
400277801,2012-11-10 00:00:00,Toronto Raptors,Philadelphia 76ers,83,93
400277805,2012-11-10 00:00:00,Houston Rockets,Detroit Pistons,96,82
