0,Charlotte Hornets
1,Boston Celtics
2,San Antonio Spurs
3,Portland Trail Blazers
4,Indiana Pacers
5,Toronto Raptors
6,LA Clippers
7,Memphis Grizzlies
8,Miami Heat
9,Cleveland Cavaliers
10,Atlanta Hawks
11,Golden State Warriors
12,Oklahoma City Thunder
13,Houston Rockets
14,Washington Wizards
15,Dallas Mavericks
16,Orlando Magic
17,Detroit Pistons
18,Denver Nuggets
19,Sacramento Kings
20,Utah Jazz
21,Milwaukee Bucks
22,New Orleans Pelicans
23,Chicago Bulls
24,Minnesota Timberwolves
25,Phoenix Suns
26,Brooklyn Nets
27,Los Angeles Lakers
28,New York Knicks
29,Philadelphia 76ers
