,W,visit_win,Avg_Score
San Antonio Spurs,62,30,105
Oklahoma City Thunder,59,25,106
LA Clippers,57,23,107
Indiana Pacers,56,21,96
Portland Trail Blazers,54,23,106
Miami Heat,54,22,102
Houston Rockets,54,21,107
Golden State Warriors,51,24,104
Memphis Grizzlies,50,23,96
Dallas Mavericks,49,23,104
Phoenix Suns,48,22,105
Toronto Raptors,48,22,101
Chicago Bulls,48,21,93
Washington Wizards,44,22,100
Brooklyn Nets,44,16,98
Charlotte Hornets,43,18,96
Minnesota Timberwolves,40,16,106
Atlanta Hawks,38,14,101
New York Knicks,37,18,98
Denver Nuggets,36,14,104
New Orleans Pelicans,34,12,99
Cleveland Cavaliers,33,14,98
Detroit Pistons,29,12,101
Sacramento Kings,28,11,100
Los Angeles Lakers,27,13,102
Boston Celtics,25,9,96
Utah Jazz,25,9,95
Orlando Magic,23,4,96
Philadelphia 76ers,19,9,99
Milwaukee Bucks,15,5,95
